timestamp,device,rle_smoothed,rle_raw,E_th,E_pw,temp_c,power_w,util_pct,a_load,t_sustain_s,rolling_peak,collapse,alerts,cpu_freq_mhz,cpu_cores_active,cpu_temp_max,gpu_memory_used_gb,gpu_memory_total_gb,gpu_fan_pct,gpu_clock_mhz,memory_used_gb,memory_total_gb,memory_util_pct,disk_used_gb,disk_total_gb,disk_util_pct,network_sent_mb,network_recv_mb,cpu_temp_hwinfo,cpu_fan_rpm,cpu_voltage,motherboard_temp,psu_voltage_12v,psu_voltage_5v,psu_voltage_3v,gpu_temp_hwinfo,gpu_memory_temp,gpu_fan_rpm,gpu_voltage,case_fan_rpm,workload_state
2025-10-29T01:05:29.643988,cpu,0.27357529118136437,0.2681468386023294,0.37437603993344426,0.7162499999999999,50.0,125.0,57.3,0.8,600.0,0.3059073419301164,0,,2496.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:29.643988,gpu,0.13471523364673335,0.16839404205841668,0.3849006675620953,0.43749999999999994,51,21.809,35,0.8,600.0,0.16805725397429985,0,,,,,2.8057518005371094,8.0,0,240,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:30.657513,cpu,0.26646214642262894,0.2386647254575707,0.37437603993344426,0.6375,50.0,125.0,51.0,0.8,600.0,0.3059073419301164,0,,2496.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:30.657513,gpu,0.1462622536735962,0.15396026702483812,0.3849006675620953,0.39999999999999997,51,21.876,32,0.8,600.0,0.16805725397429985,0,,,,,2.8057518005371094,8.0,0,225,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:31.608635,cpu,0.2616888519134775,0.2503639767054908,0.37437603993344426,0.66875,50.0,125.0,53.5,0.8,600.0,0.3059073419301164,0,,2496.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:31.608635,gpu,0.15203576368702762,0.16839404205841668,0.3849006675620953,0.43749999999999994,51,21.891,35,0.8,600.0,0.16805725397429985,0,,,,,2.8057518005371094,8.0,0,210,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:32.636063,cpu,0.24764975041597334,0.23632487520798667,0.37437603993344426,0.63125,50.0,125.0,50.5,0.8,600.0,0.26761054492512476,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:32.636063,gpu,0.17320530040294288,0.23575165888178334,0.3849006675620953,0.6124999999999999,51,22.27,49,0.8,600.0,0.23528015556401977,0,,,,,2.8057518005371094,8.0,0,285,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:33.674698,cpu,0.24886647254575706,0.25083194675540765,0.37437603993344426,0.67,50.0,125.0,53.6,0.8,600.0,0.26761054492512476,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:33.674698,gpu,0.16935629372732192,0.12028145861315477,0.3849006675620953,0.3125,51,22.163,25,0.8,600.0,0.23528015556401977,1,,,,,2.8113059997558594,8.0,0,345,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:34.617902,cpu,0.24980241264559067,0.27282653910149746,0.37437603993344426,0.7287499999999999,50.0,125.0,58.3,0.8,600.0,0.2722808860232945,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:34.617902,gpu,0.16935629372732192,0.16839404205841668,0.3849006675620953,0.43749999999999994,51,21.898,35,0.8,600.0,0.23528015556401977,0,,,,,2.8057518005371094,8.0,0,315,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:35.667540,cpu,0.28424500831946753,0.410877703826955,0.37437603993344426,1.0975,50.0,125.0,87.8,0.8,600.0,0.4100559484193011,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,training_step
